ellipticity,shot,background,pattern_shift 
False,True,True,True 
False,True,True,True 
False,True,True,True 
False,True,True,True 
ellipticity,shot,background,pattern_shift 
False,True,True,True 
ellipticity,shot,background,pattern_shift 
False,True,True,True 
ellipticity,shot,background,pattern_shift 
False,True,True,True 
ellipticity,shot,background,pattern_shift,s&p 
ellipticity,shot,background,pattern_shift,s&p 
False,True,True,True 
ellipticity,shot,background,pattern_shift,s&p 
False,True,True,True 
ellipticity,shot,background,pattern_shift,s&p 
False,True,True,True 
ellipticity,shot,background,pattern_shift,s&p 
False,True,True,True 
ellipticity,shot,background,pattern_shift,s&p 
False,True,True,True 
ellipticity,shot,background,pattern_shift,s&p 
False,True,True,True 
ellipticity,shot,background,pattern_shift,s&p 
False,True,True,False 
ellipticity,shot,background,pattern_shift,s&p 
False,True,True,False 
ellipticity,shot,background,pattern_shift,s&p 
False,True,True,False 
ellipticity,shot,background,pattern_shift,s&p 
False,True,True,False 
ellipticity,shot,background,pattern_shift,s&p 
False,True,True,True 
ellipticity,shot,background,pattern_shift,s&p 
False,True,True,True 
ellipticity,shot,background,pattern_shift,s&p 
False,True,True,True 
ellipticity,shot,background,pattern_shift,s&p 
False,True,True,True 
ellipticity,shot,background,pattern_shift,s&p 
ellipticity,shot,background,pattern_shift,s&p 
False,True,True,True 
ellipticity,shot,background,pattern_shift,s&p 
False,True,True,True 
